title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
North by Northwest,1959,Approved,2h 16m,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action,Adventure,Mystery","$3,101,000 (estimated)","$66,728","$150,007"
Ikiru,1952,Not Rated,2h 23m,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,"$60,239","$2,149","$96,302"
Citizen Kane,1941,PG,1h 59m,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Drama,Mystery","$839,727 (estimated)","$1,627,530","$1,702,325"
The Apartment,1960,Approved,2h 5m,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Comedy,Drama,Romance","$3,000,000 (estimated)","$18,600,000","$18,778,738"
Scarface,1983,R,2h 50m,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime,Drama","$50,000,000 (estimated)","$45,967,303","$66,443,303"
Reservoir Dogs,1992,R,1h 39m,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime,Thriller","$1,200,000 (estimated)","$2,832,029","$2,930,208"
Lawrence of Arabia,1962,PG,3h 38m,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure,Biography,Drama","$15,000,000 (estimated)","$45,306,425","$45,752,083"
2001: A Space Odyssey,1968,G,2h 29m,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Adventure,Sci-Fi","$12,000,000 (estimated)","$60,481,243","$66,613,487"
The Hunt,2012,R,1h 55m,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...",Drama,"DKK 20,000,000 (estimated)","$613,308","$15,886,373"
Oppenheimer,2023,R,3h,8.3,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Biography,Drama,History","$100,000,000 (estimated)","$329,862,540","$971,612,566"
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy","$32,500,000 (estimated)","$316,566,101","$475,106,177"
Capernaum,2018,R,2h 6m,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,"$4,000,000 (estimated)","$1,661,096","$64,417,003"
Come and See,1985,Not Rated,2h 22m,8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,Thriller,War","$71,909","$16,053","$20,929,648"
Requiem for a Dream,2000,NC-17,1h 42m,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,Drama,"$4,500,000 (estimated)","$3,635,482","$7,390,108"
Toy Story 3,2010,G,1h 43m,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...","Animation,Adventure,Comedy","$200,000,000 (estimated)","$415,004,880","$1,067,316,101"
Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama,Romance,Sci-Fi","$20,000,000 (estimated)","$34,400,301","$73,390,334"
3 Idiots,2009,PG-13,2h 50m,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...","Comedy,Drama","₹550,000,000 (estimated)","$6,532,874","$60,262,836"
Once Upon a Time in America,1984,R,3h 49m,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime,Drama","$30,000,000 (estimated)","$5,321,508","$5,475,086"
Your Name.,2016,,1h 46m,8.4,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Animation,Drama,Fantasy","¥370,000,000 (estimated)","$5,017,246","$382,238,191"
High and Low,1963,Not Rated,2h 23m,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime,Drama,Mystery","$46,808","$15,942","$46,808"
Singin' in the Rain,1952,G,1h 43m,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy,Musical,Romance","$2,540,800 (estimated)","$1,884,537","$2,010,042"
Good Will Hunting,1997,R,2h 6m,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama,Romance","$10,000,000 (estimated)","$138,433,435","$225,933,435"
Princess Mononoke,1997,PG-13,2h 14m,8.3,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...","Animation,Action,Adventure","¥2,400,000,000 (estimated)","$4,845,631","$170,203,640"
Amadeus,1984,PG,2h 40m,8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...","Biography,Drama,Music","$18,000,000 (estimated)","$51,973,029","$52,068,956"
Toy Story,1995,G,1h 21m,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Adventure,Comedy","$30,000,000 (estimated)","$223,225,679","$394,436,586"
Das Boot,1981,,2h 29m,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama,War","DEM 32,000,000 (estimated)","$11,487,676","$11,488,778"
Braveheart,1995,R,2h 58m,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography,Drama,War","$72,000,000 (estimated)","$75,609,945","$213,216,216"
Joker,2019,R,2h 2m,8.4,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Crime,Drama,Thriller","$55,000,000 (estimated)","$335,477,657","$1,078,958,629"
Avengers: Endgame,2019,PG-13,3h 1m,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...","Action,Adventure,Drama","$356,000,000 (estimated)","$858,373,000","$2,799,439,100"
Oldboy,2003,R,2h,8.3,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","Action,Drama,Mystery","$3,000,000 (estimated)","$2,458,200","$17,542,965"
American Beauty,1999,R,2h 2m,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,"$15,000,000 (estimated)","$130,096,601","$356,296,601"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,8.4,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy,War","$1,800,000 (estimated)","$9,440,272","$9,529,170"
Coco,2017,PG,1h 45m,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Drama","$175,000,000 (estimated)","$210,460,015","$814,337,054"
Inglourious Basterds,2009,R,2h 33m,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure,Drama,War","$70,000,000 (estimated)","$120,540,719","$321,458,605"
